Serial,Precipitation(mm)
20210517,0
20210518,9.0
20210519,0.5
20210520,0
20210521,7.5
20210522,0
20210523,0
20210524,55.5
20210525,0.5
20210526,0
20210527,0
20210528,0
20210529,6.5
20210530,62.0
20210531,61.5
20210601,7.0
20210602,2.0
20210603,0
20210604,76.0
20210605,58.0
20210606,25.5
20210607,0
20210608,0
20210609,0
20210610,0
20210611,0
20210612,0
20210613,0
20210614,0
20210615,0
20210616,0
20210617,0
20210618,0
20210619,0
20210620,0
20210621,0
20210622,73.5
20210623,53.0
20210624,9.5
20210625,0.5
20210626,0
20210627,0
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,0
20210704,0
20210705,0
20210706,0.5
20210707,0
20210708,0
20210709,0
20210710,0
20210711,0
20210712,0
20210713,0
20210714,0
20210715,0
20210716,0
20210717,0
20210718,0
20210719,0
20210720,0
20210721,18.5
20210722,22.0
20210723,26.5
20210724,77.0
20210725,0
20210726,2.0
20210727,0
20210728,0
20210729,0
20210730,0
20210731,32.5
20210801,0.5
20210802,4.5
20210803,43.0
20210804,0
20210805,1.0
20210806,7.5
20210807,63.0
20210808,0
20210809,21.5
20210810,0.5
20210811,0
20210812,45.5
20210813,0
20210814,0
20210815,4.5
20210816,0
20210817,0
20210818,0
20210819,11.0
20210820,0
20210821,0
20210822,0
20210823,0
20210824,0
20210825,0.5
20210826,0
20210827,0
20210828,0
20210829,0
20210830,0
20210831,0
20210901,0
20210902,0
20210903,0
20210904,0
20210905,0
20210906,0
20210907,0
20210908,0
20210909,0.5
20210910,0
20210911,4.5
20210912,72.5
20210913,0.5
20210914,0
20210915,3.5
20210916,0
20210917,0
20210918,0
20210919,0
20210920,0
20210921,0
20210922,0
20210923,0
20210924,32.5
20210925,0
20210926,0
20210927,0
20210928,0
20210929,0
20210930,0
20211001,0
20211002,0
20211003,0
20211004,0
20211005,3.5
20211006,8.5
20211007,2.0
20211008,0
20211009,2.0
20211010,1.0
20211011,85.0
20211012,78.5
20211013,2.5
20211014,4.0
20211015,0
20211016,3.5
20211017,3.0
20211018,2.5
20211019,1.0
20211020,4.0
20211021,48.5
20211022,62.0
20211023,34.0
20211024,87.5
20211025,47.5
20211026,0.5
20211027,0
20211028,0
20211029,4.5
20211030,3.5
20211031,3.5
20211101,1.5
20211102,0
20211103,2.0
20211104,0
20211105,0
20211106,0
20211107,0
20211108,41.0
20211109,0
20211110,0
20211111,0
20211112,4.0
20211113,49.0
20211114,1.5
20211115,0
20211116,0
20211117,0
20211118,16.5
20211119,6.5
20211120,1.5
20211121,0
20211122,26.5
20211123,6.5
20211124,0
20211125,32.0
20211126,84.5
20211127,32.0
20211128,2.0
20211129,0
20211130,2.0
20211201,0
20211202,0
20211203,0
20211204,0
20211205,13.5
20211206,52.0
20211207,0
20211208,0
20211209,1.5
20211210,4.5
20211211,21.0
20211212,53.0
20211213,20.5
20211214,1.5
20211215,0
20211216,0
20211217,3.0
20211218,0
20211219,0
20211220,0
20211221,27.0
20211222,31.5
20211223,5.5
20211224,1.0
20211225,34.0
20211226,32.0
20211227,16.0
20211228,4.5
20211229,1.0
20211230,0.5
