Date,Location,AQI
2017-01-12,菜寮,32.0
2017-01-12,龍潭,61.0
2017-01-12,大里,92.0
2017-01-12,安南,103.0
2017-01-12,大寮,120.0
2017-01-12,金門,100.0
2017-01-12,汐止,49.0
2017-01-12,新竹,53.0
2017-01-12,彰化,76.0
2017-01-12,臺南,108.0
2017-01-12,林園,101.0
2017-01-12,馬公,37.0
2017-01-13,基隆,44.0
2017-01-13,新莊,36.0
2017-01-13,湖口,36.0
2017-01-13,二林,38.0
2017-01-13,新營,83.0
2017-01-13,屏東,154.0
2017-01-13,士林,29.0
2017-01-13,板橋,31.0
2017-01-13,竹東,31.0
2017-01-13,南投,80.0
2017-01-13,善化,105.0
2017-01-13,潮州,138.0
2017-01-13,中山,39.0
2017-01-13,土城,32.0
2017-01-13,苗栗,44.0
2017-01-13,竹山,104.0
2017-01-13,楠梓,153.0
2017-01-13,恆春,44.0
2017-01-13,松山,34.0
2017-01-13,新店,33.0
2017-01-13,三義,29.0
2017-01-13,崙背,66.0
2017-01-13,左營,143.0
2017-01-13,宜蘭,36.0
2017-01-13,萬華,35.0
2017-01-13,萬里,57.0
2017-01-13,西屯,40.0
2017-01-13,斗六,76.0
2017-01-13,前金,149.0
2017-01-13,冬山,37.0
2017-01-13,古亭,43.0
2017-01-13,桃園,31.0
2017-01-13,忠明,50.0
2017-01-13,嘉義,99.0
2017-01-13,小港,155.0
2017-01-13,花蓮,38.0
2017-01-13,淡水,33.0
2017-01-13,大園,42.0
2017-01-13,豐原,48.0
2017-01-13,新港,67.0
2017-01-13,美濃,118.0
2017-01-13,臺東,24.0
2017-01-13,林口,48.0
2017-01-13,平鎮,31.0
2017-01-13,沙鹿,37.0
2017-01-13,朴子,65.0
2017-01-13,仁武,144.0
2017-01-13,馬祖,56.0
2017-01-13,菜寮,30.0
2017-01-13,龍潭,42.0
2017-01-13,大里,50.0
2017-01-13,安南,95.0
2017-01-13,大寮,134.0
2017-01-13,金門,56.0
2017-01-13,汐止,50.0
2017-01-13,新竹,33.0
2017-01-13,彰化,50.0
2017-01-13,臺南,111.0
2017-01-13,林園,84.0
2017-01-13,馬公,38.0
2017-01-14,基隆,75.0
2017-01-14,新莊,65.0
2017-01-14,湖口,69.0
2017-01-14,二林,52.0
2017-01-14,新營,86.0
2017-01-14,屏東,135.0
2017-01-14,士林,70.0
2017-01-14,板橋,78.0
2017-01-14,竹東,57.0
2017-01-14,南投,63.0
2017-01-14,善化,86.0
2017-01-14,潮州,140.0
2017-01-14,中山,79.0
2017-01-14,土城,68.0
2017-01-14,苗栗,61.0
2017-01-14,竹山,81.0
2017-01-14,楠梓,103.0
2017-01-14,恆春,50.0
2017-01-14,松山,77.0
2017-01-14,新店,79.0
2017-01-14,三義,43.0
2017-01-14,崙背,75.0
2017-01-14,左營,109.0
2017-01-14,宜蘭,60.0
2017-01-14,萬華,79.0
2017-01-14,萬里,88.0
2017-01-14,西屯,47.0
2017-01-14,斗六,74.0
2017-01-14,前金,103.0
2017-01-14,冬山,60.0
2017-01-14,古亭,91.0
2017-01-14,桃園,81.0
2017-01-14,忠明,51.0
2017-01-14,嘉義,81.0
2017-01-14,小港,123.0
2017-01-14,花蓮,38.0
2017-01-14,淡水,63.0
2017-01-14,大園,78.0
2017-01-14,豐原,31.0
2017-01-14,新港,66.0
2017-01-14,美濃,114.0
2017-01-14,臺東,32.0
2017-01-14,林口,49.0
2017-01-14,平鎮,67.0
2017-01-14,沙鹿,51.0
2017-01-14,朴子,66.0
2017-01-14,仁武,110.0
2017-01-14,馬祖,129.0
2017-01-14,菜寮,71.0
2017-01-14,龍潭,75.0
2017-01-14,大里,34.0
2017-01-14,安南,84.0
2017-01-14,大寮,106.0
2017-01-14,金門,118.0
2017-01-14,汐止,92.0
2017-01-14,新竹,67.0
2017-01-14,彰化,61.0
2017-01-14,臺南,86.0
2017-01-14,林園,43.0
2017-01-14,馬公,71.0
2017-01-15,基隆,40.0
2017-01-15,新莊,35.0
2017-01-15,湖口,37.0
2017-01-15,二林,42.0
2017-01-15,新營,74.0
2017-01-15,屏東,149.0
2017-01-15,士林,42.0
2017-01-15,板橋,35.0
2017-01-15,竹東,36.0
2017-01-15,南投,64.0
2017-01-15,善化,93.0
2017-01-15,潮州,151.0
2017-01-15,中山,31.0
2017-01-15,土城,39.0
2017-01-15,苗栗,35.0
2017-01-15,竹山,102.0
2017-01-15,楠梓,128.0
2017-01-15,恆春,46.0
2017-01-15,松山,36.0
2017-01-15,新店,39.0
2017-01-15,三義,32.0
2017-01-15,崙背,63.0
2017-01-15,左營,132.0
2017-01-15,宜蘭,40.0
2017-01-15,萬華,33.0
2017-01-15,萬里,45.0
2017-01-15,西屯,33.0
2017-01-15,斗六,77.0
2017-01-15,前金,123.0
2017-01-15,冬山,38.0
2017-01-15,古亭,39.0
2017-01-15,桃園,36.0
2017-01-15,忠明,43.0
2017-01-15,嘉義,84.0
2017-01-15,小港,123.0
2017-01-15,花蓮,32.0
2017-01-15,淡水,37.0
2017-01-15,大園,35.0
2017-01-15,豐原,32.0
2017-01-15,新港,63.0
2017-01-15,美濃,111.0
2017-01-15,臺東,32.0
2017-01-15,林口,36.0
2017-01-15,平鎮,36.0
2017-01-15,沙鹿,34.0
2017-01-15,朴子,65.0
2017-01-15,仁武,120.0
2017-01-15,馬祖,55.0
2017-01-15,菜寮,34.0
2017-01-15,龍潭,37.0
2017-01-15,大里,32.0
2017-01-15,安南,86.0
2017-01-15,大寮,107.0
2017-01-15,金門,90.0
2017-01-15,汐止,37.0
2017-01-15,新竹,34.0
2017-01-15,彰化,40.0
2017-01-15,臺南,97.0
2017-01-15,林園,46.0
2017-01-15,馬公,40.0
2017-01-17,基隆,33.0
2017-01-17,新莊,37.0
2017-01-17,湖口,44.0
2017-01-17,二林,40.0
2017-01-17,新營,72.0
2017-01-17,屏東,88.0
2017-01-17,士林,33.0
